DC,Primary Impact Zone 1,Primary Impact Zone 2,Primary Impact Zone 3,Primary Impact Zone 4,Primary Impact Zone 5,Primary Impact Zone 6,Secondary Impact Zone 1,Secondary Impact Zone 2,Secondary Impact Zone 3,Secondary Impact Zone 4,Secondary Impact Zone 5,Secondary Impact Zone 6
DC000,ZL0000,ZL0001,ZL0002,ZL0003,ZL0004,ZL0005,ZL0010,ZL0013,ZL0016,ZL0019,ZL0022,ZL0007
DC001,ZL0008,ZL0009,ZL0027,ZL0028,ZL0029,ZL0030,ZL0007,ZL0010,ZL0026,ZL0059,ZL0062,ZL0031
DC002,ZL0011,ZL0012,ZL0032,ZL0033,ZL0034,ZL0035,ZL0010,ZL0013,ZL0031,ZL0066,ZL0069,ZL0036
DC003,ZL0014,ZL0015,ZL0037,ZL0038,ZL0039,ZL0040,ZL0013,ZL0016,ZL0036,ZL0073,ZL0076,ZL0041
DC004,ZL0017,ZL0018,ZL0042,ZL0043,ZL0044,ZL0045,ZL0016,ZL0019,ZL0041,ZL0080,ZL0083,ZL0046
DC005,ZL0020,ZL0021,ZL0047,ZL0048,ZL0049,ZL0050,ZL0019,ZL0022,ZL0046,ZL0087,ZL0090,ZL0051
DC006,ZL0006,ZL0023,ZL0024,ZL0025,ZL0052,ZL0053,ZL0007,ZL0022,ZL0055,ZL0026,ZL0051,ZL0094
DC007,ZL0056,ZL0057,ZL0058,ZL0099,ZL0100,ZL0101,ZL0055,ZL0026,ZL0059,ZL0098,ZL0155,ZL0102
DC008,ZL0060,ZL0061,ZL0103,ZL0104,ZL0105,ZL0106,ZL0059,ZL0062,ZL0102,ZL0159,ZL0162,ZL0107
DC009,ZL0063,ZL0064,ZL0065,ZL0108,ZL0109,ZL0110,ZL0062,ZL0031,ZL0066,ZL0107,ZL0166,ZL0111
DC010,ZL0067,ZL0068,ZL0112,ZL0113,ZL0114,ZL0115,ZL0066,ZL0069,ZL0111,ZL0170,ZL0173,ZL0116
DC011,ZL0070,ZL0071,ZL0072,ZL0117,ZL0118,ZL0119,ZL0069,ZL0036,ZL0073,ZL0116,ZL0177,ZL0120
DC012,ZL0074,ZL0075,ZL0121,ZL0122,ZL0123,ZL0124,ZL0073,ZL0076,ZL0120,ZL0181,ZL0184,ZL0125
DC013,ZL0077,ZL0078,ZL0079,ZL0126,ZL0127,ZL0128,ZL0076,ZL0041,ZL0080,ZL0125,ZL0188,ZL0129
DC014,ZL0081,ZL0082,ZL0130,ZL0131,ZL0132,ZL0133,ZL0080,ZL0083,ZL0129,ZL0192,ZL0195,ZL0134
DC015,ZL0084,ZL0085,ZL0086,ZL0135,ZL0136,ZL0137,ZL0083,ZL0046,ZL0087,ZL0134,ZL0199,ZL0138
DC016,ZL0088,ZL0089,ZL0139,ZL0140,ZL0141,ZL0142,ZL0087,ZL0090,ZL0138,ZL0203,ZL0206,ZL0143
DC017,ZL0091,ZL0092,ZL0093,ZL0144,ZL0145,ZL0146,ZL0090,ZL0051,ZL0094,ZL0143,ZL0210,ZL0147
DC018,ZL0054,ZL0095,ZL0096,ZL0097,ZL0148,ZL0149,ZL0055,ZL0094,ZL0151,ZL0098,ZL0147,ZL0214
DC019,ZL0152,ZL0153,ZL0154,ZL0219,ZL0220,ZL0221,ZL0151,ZL0098,ZL0155,ZL0218,ZL0299,ZL0222
DC020,ZL0156,ZL0157,ZL0158,ZL0223,ZL0224,ZL0225,ZL0155,ZL0102,ZL0159,ZL0222,ZL0303,ZL0226
DC021,ZL0160,ZL0161,ZL0227,ZL0228,ZL0229,ZL0230,ZL0159,ZL0162,ZL0226,ZL0307,ZL0310,ZL0231
DC022,ZL0163,ZL0164,ZL0165,ZL0232,ZL0233,ZL0234,ZL0162,ZL0107,ZL0166,ZL0231,ZL0314,ZL0235
DC023,ZL0167,ZL0168,ZL0169,ZL0236,ZL0237,ZL0238,ZL0166,ZL0111,ZL0170,ZL0235,ZL0318,ZL0239
DC024,ZL0171,ZL0172,ZL0240,ZL0241,ZL0242,ZL0243,ZL0170,ZL0173,ZL0239,ZL0322,ZL0325,ZL0244
DC025,ZL0174,ZL0175,ZL0176,ZL0245,ZL0246,ZL0247,ZL0173,ZL0116,ZL0177,ZL0244,ZL0329,ZL0248
DC026,ZL0178,ZL0179,ZL0180,ZL0249,ZL0250,ZL0251,ZL0177,ZL0120,ZL0181,ZL0248,ZL0333,ZL0252
DC027,ZL0182,ZL0183,ZL0253,ZL0254,ZL0255,ZL0256,ZL0181,ZL0184,ZL0252,ZL0337,ZL0340,ZL0257
DC028,ZL0185,ZL0186,ZL0187,ZL0258,ZL0259,ZL0260,ZL0184,ZL0125,ZL0188,ZL0257,ZL0344,ZL0261
DC029,ZL0189,ZL0190,ZL0191,ZL0262,ZL0263,ZL0264,ZL0188,ZL0129,ZL0192,ZL0261,ZL0348,ZL0265
DC030,ZL0193,ZL0194,ZL0266,ZL0267,ZL0268,ZL0269,ZL0192,ZL0195,ZL0265,ZL0352,ZL0355,ZL0270
DC031,ZL0196,ZL0197,ZL0198,ZL0271,ZL0272,ZL0273,ZL0195,ZL0134,ZL0199,ZL0270,ZL0359,ZL0274
DC032,ZL0200,ZL0201,ZL0202,ZL0275,ZL0276,ZL0277,ZL0199,ZL0138,ZL0203,ZL0274,ZL0363,ZL0278
DC033,ZL0204,ZL0205,ZL0279,ZL0280,ZL0281,ZL0282,ZL0203,ZL0206,ZL0278,ZL0367,ZL0370,ZL0283
DC034,ZL0207,ZL0208,ZL0209,ZL0284,ZL0285,ZL0286,ZL0206,ZL0143,ZL0210,ZL0283,ZL0374,ZL0287
DC035,ZL0211,ZL0212,ZL0213,ZL0288,ZL0289,ZL0290,ZL0210,ZL0147,ZL0214,ZL0287,ZL0378,ZL0291
DC036,ZL0150,ZL0215,ZL0216,ZL0217,ZL0292,ZL0293,ZL0151,ZL0214,ZL0295,ZL0218,ZL0291,ZL0382
DC037,ZL0296,ZL0297,ZL0298,ZL0387,ZL0388,ZL0389,ZL0295,ZL0218,ZL0299,ZL0386,,ZL0390
DC038,ZL0300,ZL0301,ZL0302,ZL0391,ZL0392,ZL0393,ZL0299,ZL0222,ZL0303,ZL0390,,ZL0394
DC039,ZL0304,ZL0305,ZL0306,ZL0395,ZL0396,ZL0397,ZL0303,ZL0226,ZL0307,ZL0394,,ZL0398
DC040,ZL0308,ZL0309,ZL0399,ZL0400,ZL0401,ZL0402,ZL0307,ZL0310,ZL0398,,,ZL0403
DC041,ZL0311,ZL0312,ZL0313,ZL0404,ZL0405,ZL0406,ZL0310,ZL0231,ZL0314,ZL0403,,ZL0407
DC042,ZL0315,ZL0316,ZL0317,ZL0408,ZL0409,ZL0410,ZL0314,ZL0235,ZL0318,ZL0407,,ZL0411
DC043,ZL0319,ZL0320,ZL0321,ZL0412,ZL0413,ZL0414,ZL0318,ZL0239,ZL0322,ZL0411,,ZL0415
DC044,ZL0323,ZL0324,ZL0416,ZL0417,ZL0418,ZL0419,ZL0322,ZL0325,ZL0415,,,ZL0420
DC045,ZL0326,ZL0327,ZL0328,ZL0421,ZL0422,ZL0423,ZL0325,ZL0244,ZL0329,ZL0420,,ZL0424
DC046,ZL0330,ZL0331,ZL0332,ZL0425,ZL0426,ZL0427,ZL0329,ZL0248,ZL0333,ZL0424,,ZL0428
DC047,ZL0334,ZL0335,ZL0336,ZL0429,ZL0430,ZL0431,ZL0333,ZL0252,ZL0337,ZL0428,,ZL0432
DC048,ZL0338,ZL0339,ZL0433,ZL0434,ZL0435,ZL0436,ZL0337,ZL0340,ZL0432,,,ZL0437
DC049,ZL0341,ZL0342,ZL0343,ZL0438,ZL0439,ZL0440,ZL0340,ZL0257,ZL0344,ZL0437,,ZL0441
DC050,ZL0345,ZL0346,ZL0347,ZL0442,ZL0443,ZL0444,ZL0344,ZL0261,ZL0348,ZL0441,,ZL0445
DC051,ZL0349,ZL0350,ZL0351,ZL0446,ZL0447,ZL0448,ZL0348,ZL0265,ZL0352,ZL0445,,ZL0449
DC052,ZL0353,ZL0354,ZL0450,ZL0451,ZL0452,ZL0453,ZL0352,ZL0355,ZL0449,,,ZL0454
DC053,ZL0356,ZL0357,ZL0358,ZL0455,ZL0456,ZL0457,ZL0355,ZL0270,ZL0359,ZL0454,,ZL0458
DC054,ZL0360,ZL0361,ZL0362,ZL0459,ZL0460,ZL0461,ZL0359,ZL0274,ZL0363,ZL0458,,ZL0462
DC055,ZL0364,ZL0365,ZL0366,ZL0463,ZL0464,ZL0465,ZL0363,ZL0278,ZL0367,ZL0462,,ZL0466
DC056,ZL0368,ZL0369,ZL0467,ZL0468,ZL0469,ZL0470,ZL0367,ZL0370,ZL0466,,,ZL0471
DC057,ZL0371,ZL0372,ZL0373,ZL0472,ZL0473,ZL0474,ZL0370,ZL0283,ZL0374,ZL0471,,ZL0475
DC058,ZL0375,ZL0376,ZL0377,ZL0476,ZL0477,ZL0478,ZL0374,ZL0287,ZL0378,ZL0475,,ZL0479
DC059,ZL0379,ZL0380,ZL0381,ZL0480,ZL0481,ZL0482,ZL0378,ZL0291,ZL0382,ZL0479,,ZL0483
DC060,ZL0294,ZL0383,ZL0384,ZL0385,ZL0484,ZL0485,ZL0295,ZL0382,,ZL0386,ZL0483,
