ZeroLevelPlot,Point1 Latitude,Point1 Longitude,Point1 Name,Point2 Latitude,Point2 Longitude,Point2 Name,Point3 Latitude,Point3 Longitude,Point3 Name
ZL0000,11.002068875882083,76.96103442248916,DC000,11.009484153714254,76.9652989142874,FC0000,11.001964332042773,76.96934555291331,FC0001
ZL0001,11.002068875882083,76.96103442248916,DC000,11.001964332042773,76.96934555291331,FC0001,10.99454910455417,76.96508086544598,FC0002
ZL0002,11.002068875882083,76.96103442248916,DC000,10.99454910455417,76.96508086544598,FC0002,10.994653891507841,76.95677034823329,FC0003
ZL0003,11.002068875882083,76.96103442248916,DC000,10.994653891507841,76.95677034823329,FC0003,11.002173183711689,76.95272409645456,FC0004
ZL0004,11.002068875882083,76.96103442248916,DC000,11.002173183711689,76.95272409645456,FC0004,11.009588218415677,76.95698797497246,FC0005
ZL0005,11.002068875882083,76.96103442248916,DC000,11.009588218415677,76.95698797497246,FC0005,11.009484153714254,76.9652989142874,FC0000
ZL0006,11.017107131819534,76.9529415229362,DC006,11.017003546361217,76.9612522710586,FC0006,11.009588218415677,76.95698797497246,FC0005
ZL0007,11.017003546361217,76.9612522710586,FC0006,11.009588218415677,76.95698797497246,FC0005,11.009484153714254,76.9652989142874,FC0000
ZL0008,11.017003546361217,76.9612522710586,FC0006,11.016899724649369,76.96956382364206,DC001,11.009484153714254,76.9652989142874,FC0000
ZL0009,11.016899724649369,76.96956382364206,DC001,11.0093798528507,76.97361065791114,FC0007,11.009484153714254,76.9652989142874,FC0000
ZL0010,11.0093798528507,76.97361065791114,FC0007,11.009484153714254,76.9652989142874,FC0000,11.001964332042773,76.96934555291331,FC0001
ZL0011,11.0093798528507,76.97361065791114,FC0007,11.00185955213281,76.97765748749396,DC002,11.001964332042773,76.96934555291331,FC0001
ZL0012,11.00185955213281,76.97765748749396,DC002,10.994444081682245,76.97339218689595,FC0008,11.001964332042773,76.96934555291331,FC0001
ZL0013,10.994444081682245,76.97339218689595,FC0008,11.001964332042773,76.96934555291331,FC0001,10.99454910455417,76.96508086544598,FC0002
ZL0014,10.994444081682245,76.97339218689595,FC0008,10.987028904767405,76.9691273038025,DC003,10.99454910455417,76.96508086544598,FC0002
ZL0015,10.987028904767405,76.9691273038025,DC003,10.987134170739813,76.96081659549509,FC0009,10.99454910455417,76.96508086544598,FC0002
ZL0016,10.987134170739813,76.96081659549509,FC0009,10.99454910455417,76.96508086544598,FC0002,10.994653891507841,76.95677034823329,FC0003
ZL0017,10.987134170739813,76.96081659549509,FC0009,10.98723920094635,76.95250669150568,DC004,10.994653891507841,76.95677034823329,FC0003
ZL0018,10.98723920094635,76.95250669150568,DC004,10.994758442604168,76.94846063549082,FC0010,10.994653891507841,76.95677034823329,FC0003
ZL0019,10.994758442604168,76.94846063549082,FC0010,10.994653891507841,76.95677034823329,FC0003,11.002173183711689,76.95272409645456,FC0004
ZL0020,10.994758442604168,76.94846063549082,FC0010,11.002277255592553,76.94441457504232,DC005,11.002173183711689,76.95272409645456,FC0004
ZL0021,11.002277255592553,76.94441457504232,DC005,11.009692047015992,76.94867784019927,FC0011,11.002173183711689,76.95272409645456,FC0004
ZL0022,11.009692047015992,76.94867784019927,FC0011,11.002173183711689,76.95272409645456,FC0004,11.009588218415677,76.95698797497246,FC0005
ZL0023,11.009692047015992,76.94867784019927,FC0011,11.017107131819534,76.9529415229362,DC006,11.009588218415677,76.95698797497246,FC0005
ZL0024,11.024625615758364,76.94889506642073,FC0029,11.024522509648289,76.95720562326724,FC0012,11.017107131819534,76.9529415229362,DC006
ZL0025,11.024522509648289,76.95720562326724,FC0012,11.017107131819534,76.9529415229362,DC006,11.017003546361217,76.9612522710586,FC0006
ZL0026,11.024522509648289,76.95720562326724,FC0012,11.024419167193338,76.96551698472707,FC0013,11.017003546361217,76.9612522710586,FC0006
ZL0027,11.024419167193338,76.96551698472707,FC0013,11.017003546361217,76.9612522710586,FC0006,11.016899724649369,76.96956382364206,DC001
ZL0028,11.024419167193338,76.96551698472707,FC0013,11.024315588332357,76.97382915056718,FC0014,11.016899724649369,76.96956382364206,DC001
ZL0029,11.024315588332357,76.97382915056718,FC0014,11.01679566662291,76.97787618045352,FC0015,11.016899724649369,76.96956382364206,DC001
ZL0030,11.01679566662291,76.97787618045352,FC0015,11.016899724649369,76.96956382364206,DC001,11.0093798528507,76.97361065791114,FC0007
ZL0031,11.01679566662291,76.97787618045352,FC0015,11.009275315764043,76.98192320561057,FC0016,11.0093798528507,76.97361065791114,FC0007
ZL0032,11.009275315764043,76.98192320561057,FC0016,11.0093798528507,76.97361065791114,FC0007,11.00185955213281,76.97765748749396,DC002
ZL0033,11.009275315764043,76.98192320561057,FC0016,11.001754536091262,76.98597022599795,FC0017,11.00185955213281,76.97765748749396,DC002
ZL0034,11.001754536091262,76.98597022599795,FC0017,10.99433882283123,76.98170431235015,FC0018,11.00185955213281,76.97765748749396,DC002
ZL0035,10.99433882283123,76.98170431235015,FC0018,11.00185955213281,76.97765748749396,DC002,10.994444081682245,76.97339218689595,FC0008
ZL0036,10.99433882283123,76.98170431235015,FC0018,10.986923402968293,76.97743881619498,FC0019,10.994444081682245,76.97339218689595,FC0008
ZL0037,10.986923402968293,76.97743881619498,FC0019,10.994444081682245,76.97339218689595,FC0008,10.987028904767405,76.9691273038025,DC003
ZL0038,10.986923402968293,76.97743881619498,FC0019,10.979508276857423,76.97317373751841,FC0020,10.987028904767405,76.9691273038025,DC003
